Frequency (Hz)	Level (dB)
816.915894	-89.244995
818.261719	-108.625320
819.607544	-91.399757
820.953369	-94.043793
822.299194	-91.159225
823.645020	-98.957451
824.990845	-92.192245
826.336670	-84.735207
827.682495	-79.353668
829.028320	-77.415085
830.374146	-79.796982
831.719971	-89.289482
833.065796	-95.023849
834.411621	-77.788086
835.757446	-77.651527
837.103271	-90.345398
838.449097	-77.478607
839.794922	-73.391197
841.140747	-80.105682
842.486572	-78.540817
843.832397	-79.855911
845.178223	-92.266953
846.524048	-86.610847
847.869873	-78.893631
849.215698	-79.258240
850.561523	-98.549217
851.907349	-92.383667
853.253174	-94.638779
854.598999	-82.928505
855.944824	-87.721130
857.290649	-74.337502
858.636475	-75.562668
859.982300	-84.570877
861.328125	-82.264130
862.673950	-78.482727
864.019775	-86.522522
865.365601	-80.145378
866.711426	-83.915092
868.057251	-94.427711
869.403076	-98.626457
870.748901	-90.488571
872.094727	-86.497826
873.440552	-88.764198
874.786377	-87.692871
876.132202	-82.367172
877.478027	-85.618149
878.823853	-83.592590
880.169678	-80.217606
881.515503	-78.682358
882.861328	-79.103935
884.207153	-83.071373
885.552979	-75.897400
886.898804	-71.603600
888.244629	-64.284569
889.590454	-64.360825
890.936279	-72.053413
892.282104	-71.547066
893.627930	-71.954330
894.973755	-71.426598
896.319580	-79.641029
897.665405	-84.511902
899.011230	-78.568138
900.357056	-82.381500
901.702881	-86.428070
903.048706	-79.865486
904.394531	-77.868385
905.740356	-81.464790
907.086182	-79.852478
908.432007	-76.946846
909.777832	-72.972534
911.123657	-72.716179
912.469482	-73.307938
913.815308	-75.850784
915.161133	-80.968323
916.506958	-87.810127
917.852783	-88.888435
919.198608	-85.186470
920.544434	-86.274193
921.890259	-91.749092
923.236084	-105.923065
924.581909	-90.819405
925.927734	-83.013420
927.273560	-84.027817
928.619385	-81.664665
929.965210	-76.926636
931.311035	-87.577309
932.656860	-73.634193
934.002686	-72.760063
935.348511	-72.444405
936.694336	-67.307755
938.040161	-66.604698
939.385986	-79.079163
940.731812	-71.132790
942.077637	-77.010834
943.423462	-80.832535
944.769287	-75.087364
946.115112	-74.313293
947.460938	-72.581505
948.806763	-75.905441
950.152588	-75.544548
951.498413	-71.108711
952.844238	-75.268105
954.190063	-71.739563
955.535889	-68.695221
956.881714	-73.834503
958.227539	-76.137764
959.573364	-74.814819
960.919189	-75.493317
962.265015	-83.341690
963.610840	-81.629768
964.956665	-79.672333
966.302490	-79.051369
967.648315	-81.215195
968.994141	-82.762543
970.339966	-82.104126
971.685791	-83.499680
973.031616	-79.898338
974.377441	-74.474876
975.723267	-78.856567
977.069092	-78.178841
978.414917	-72.336220
979.760742	-74.573280
981.106567	-75.811943
982.452393	-77.226418
983.798218	-72.869102
985.144043	-74.522636
986.489868	-75.824051
987.835693	-71.533195
989.181519	-71.452576
990.527344	-74.797577
991.873169	-69.429214
993.218994	-67.813950
994.564819	-68.829628
995.910645	-71.641975
997.256470	-80.863396
998.602295	-75.871300
999.948120	-70.707314
1001.293945	-70.084480
1002.639771	-72.626595
1003.985596	-72.408195
1005.331421	-74.277649
1006.677246	-91.434151
1008.023071	-75.017456
1009.368896	-73.875603
1010.714722	-70.184746
1012.060547	-69.280312
1013.406372	-71.856789
1014.752197	-74.623337
1016.098022	-80.335945
1017.443848	-87.122856
1018.789673	-86.031555
1020.135498	-81.142006
1021.481323	-77.543625
1022.827148	-72.013535
1024.172974	-69.534927
1025.518799	-70.709053
1026.864624	-74.037155
1028.210449	-71.553314
1029.556274	-75.546265
1030.902100	-70.934639
1032.247925	-72.760185
1033.593750	-72.785843
1034.939575	-71.015816
1036.285400	-74.237045
1037.631226	-66.750473
1038.977051	-64.095589
1040.322876	-68.407005
1041.668701	-61.070820
1043.014526	-59.496799
1044.360352	-63.250896
1045.706177	-65.373611
1047.052002	-63.472115
1048.397827	-66.951874
1049.743652	-77.688179
1051.089478	-73.242165
1052.435303	-68.908371
1053.781128	-70.762917
1055.126953	-69.092537
1056.472778	-62.906761
1057.818604	-60.280922
1059.164429	-61.295765
1060.510254	-65.741890
1061.856079	-66.999123
1063.201904	-79.012955
1064.547729	-79.163803
1065.893555	-82.578712
1067.239380	-72.820969
1068.585205	-69.627541
1069.931030	-78.439423
1071.276855	-76.720406
1072.622681	-85.761597
1073.968506	-72.817390
1075.314331	-68.416176
1076.660156	-77.152702
1078.005981	-86.544235
1079.351807	-65.182281
1080.697632	-60.019505
1082.043457	-57.660698
1083.389282	-59.395920
1084.735107	-60.550301
1086.080933	-64.707748
1087.426758	-64.463615
1088.772583	-47.843212
1090.118408	-39.433697
1091.464233	-24.288105
1092.810059	-24.524416
1094.155884	-39.169785
1095.501709	-74.352913
1096.847534	-56.503319
1098.193359	-64.168961
1099.539185	-59.340340
1100.885010	-62.072823
1102.230835	-67.615868
1103.576660	-68.151360
1104.922485	-63.641411
1106.268311	-63.515285
1107.614136	-64.308601
1108.959961	-67.887909
1110.305786	-75.352531
1111.651611	-75.952988
1112.997437	-78.046745
1114.343262	-69.834084
1115.689087	-72.216751
1117.034912	-82.627991
1118.380737	-84.693939
1119.726562	-77.927048
